"table1.customerid","table1.dominant_gender","table1.max_gender","table2.dominant_size","table2.max_size","table3.last_purchase"
"10260282","Femme","3","41","3","2015-11-01 11:35:06.0"
"10262674","Femme","1","38","1","2015-11-01 11:52:19.0"
"10263154","Femme","2","35","2","2015-11-01 16:40:09.0"
"10270688","Femme","1","38","1","2015-11-01 14:14:16.0"
"10273864","Femme","1","37","1","2015-11-01 14:41:11.0"
"10274747","Femme","2","40","2","2015-11-01 17:07:09.0"
"10282247","Accessoires","1","","0","2015-11-01 15:53:19.0"
"10282247","Femme","1","","0","2015-11-01 15:53:19.0"
"10282522","Femme","1","37","1","2015-11-01 23:12:17.0"
"10282903","Enfant","1","31","1","2015-11-01 12:24:19.0"
"10284840","Femme","2","40","2","2015-11-01 15:50:17.0"
"10286946","Femme","1","38","1","2015-11-01 19:24:10.0"
"10286972","Femme","2","38","1","2015-11-01 20:49:09.0"
"10286972","Femme","2","39","1","2015-11-01 20:49:09.0"
"10287750","Femme","2","36","2","2015-11-01 08:25:07.0"
"10287754","Homme","1","36","1","2015-11-01 21:12:01.0"
"10287754","Homme","1","43","1","2015-11-01 21:12:01.0"
"10287754","Enfant","1","36","1","2015-11-01 21:12:01.0"
"10287754","Enfant","1","43","1","2015-11-01 21:12:01.0"
"10288275","Enfant","1","32","1","2015-11-01 21:02:17.0"
"10288275","Enfant","1","37","1","2015-11-01 21:02:17.0"
"10288275","Femme","1","32","1","2015-11-01 21:02:17.0"
"10288275","Femme","1","37","1","2015-11-01 21:02:17.0"
"10290108","Enfant","1","29","1","2015-11-01 18:35:18.0"
"10290108","Enfant","1","36","1","2015-11-01 18:35:18.0"
"10290108","Femme","1","29","1","2015-11-01 18:35:18.0"
"10290108","Femme","1","36","1","2015-11-01 18:35:18.0"
"10291179","Homme","2","40","2","2015-11-01 19:24:04.0"
"10294208","Femme","3","37","3","2015-11-01 23:50:16.0"
"10295489","Femme","1","38","1","2015-11-01 19:57:00.0"
"10296828","Femme","1","38","1","2015-11-01 21:44:17.0"
"10297717","Femme","1","42","1","2015-11-01 07:09:11.0"
"10297717","Homme","1","42","1","2015-11-01 07:09:11.0"
"10301290","Homme","2","38","1","2015-11-01 21:22:19.0"
"10301290","Homme","2","43","1","2015-11-01 21:22:19.0"
"10301290","Homme","2","42","1","2015-11-01 21:22:19.0"
"10301820","Enfant","2","30","2","2015-11-01 11:59:01.0"
"10302542","Femme","1","38","1","2015-11-01 10:15:02.0"
"10302630","Enfant","3","26","2","2015-11-01 18:32:12.0"
"10305381","Enfant","2","29","1","2015-11-01 10:09:02.0"
"10305381","Enfant","2","31","1","2015-11-01 10:09:02.0"
"10306312","Homme","1","41","1","2015-11-01 21:55:07.0"
"10306312","Sacs","1","41","1","2015-11-01 21:55:07.0"
"10309021","Femme","3","39","2","2015-11-01 16:40:13.0"
"10309774","Homme","1","38","1","2015-11-01 20:49:18.0"
"10309774","Homme","1","42","1","2015-11-01 20:49:18.0"
"10309774","Femme","1","38","1","2015-11-01 20:49:18.0"
"10309774","Femme","1","42","1","2015-11-01 20:49:18.0"
"10310215","Enfant","1","26","1","2015-11-01 09:50:13.0"
"10314054","Femme","1","40","1","2015-11-01 14:46:06.0"
"10320801","Femme","1","39","1","2015-11-01 07:48:10.0"
"10324047","Femme","1","39","1","2015-11-01 10:13:16.0"
"10325659","Homme","1","42","1","2015-11-01 13:39:04.0"
"10327472","Femme","4","39","3","2015-11-01 17:40:10.0"
"10329913","Femme","4","39","4","2015-11-01 23:20:03.0"
"10332360","Femme","1","38","1","2015-11-01 10:34:05.0"
"10332764","Femme","2","38","1","2015-11-01 12:35:15.0"
"10332764","Femme","2","39","1","2015-11-01 12:35:15.0"
"10333347","Femme","1","37","1","2015-11-01 20:28:16.0"
"10337886","Homme","1","44","1","2015-11-01 17:13:19.0"
"10343043","Femme","1","36","1","2015-11-01 12:39:01.0"
"10350247","Homme","2","44","2","2015-11-01 18:06:18.0"
"10354584","Homme","1","40","1","2015-11-01 17:23:18.0"
"10357705","Femme","2","38","2","2015-11-01 20:01:16.0"
"10360023","Homme","1","40","1","2015-11-01 08:22:09.0"
"10363761","Femme","1","39","1","2015-11-01 17:10:15.0"
"10364124","Femme","1","37","1","2015-11-01 18:26:04.0"
"10365373","Homme","2","44","2","2015-11-01 14:05:12.0"
"10366150","Femme","1","40","1","2015-11-01 11:40:15.0"
"10366604","Femme","1","39","1","2015-11-01 18:15:01.0"
"10370753","Femme","2","39","2","2015-11-01 18:28:06.0"
"10370975","Femme","1","37","1","2015-11-01 20:29:07.0"
"10373051","Femme","1","36","1","2015-11-01 17:35:05.0"
"10379096","Femme","1","37","1","2015-11-01 21:41:01.0"
"10379954","Enfant","1","37","1","2015-11-01 19:58:04.0"
"10379954","Femme","1","37","1","2015-11-01 19:58:04.0"
"10381199","Enfant","1","29","1","2015-11-01 21:17:05.0"
"10382057","Femme","2","38","2","2015-11-01 20:23:04.0"
"10388227","Homme","1","42","1","2015-11-01 14:52:14.0"
"10395309","Femme","2","39","1","2015-11-01 11:13:00.0"
"10401751","Femme","1","39","1","2015-11-01 09:30:04.0"
"10402373","Femme","1","41","1","2015-11-01 21:19:18.0"
"10403804","Enfant","2","30","2","2015-11-01 15:40:03.0"
"10406553","Femme","3","40","2","2015-11-01 08:39:17.0"
"10407387","Femme","2","39","2","2015-11-01 20:31:07.0"
"10407531","Homme","2","43","1","2015-11-01 21:05:19.0"
"10407531","Homme","2","44","1","2015-11-01 21:05:19.0"
"10407937","Enfant","2","","0","2015-11-01 22:17:05.0"
"10411033","Accessoires","1","39","1","2015-11-01 16:51:01.0"
"10411033","Femme","1","39","1","2015-11-01 16:51:01.0"
"10415379","Enfant","1","30","1","2015-11-01 10:55:08.0"
"10422113","Femme","1","38","1","2015-11-01 23:38:16.0"
"10423597","Femme","1","36","1","2015-11-01 17:43:12.0"
"10428518","Homme","2","41","1","2015-11-01 17:08:15.0"
"10428518","Homme","2","42","1","2015-11-01 17:08:15.0"
"10430676","Sacs","1","","0","2015-11-01 12:01:10.0"
"10431473","Sacs","1","","0","2015-11-01 19:16:18.0"
"10432841","Femme","1","38","1","2015-11-01 18:05:06.0"
"10433817","Femme","1","39","1","2015-11-01 20:43:01.0"
"10433943","Femme","1","39","1","2015-11-01 09:13:06.0"
"10439208","Enfant","2","34","1","2015-11-01 13:13:18.0"
"10439208","Enfant","2","29","1","2015-11-01 13:13:18.0"
"10441973","Femme","4","38","4","2015-11-01 15:31:12.0"
"10447150","Femme","2","41","1","2015-11-01 10:05:05.0"
"10448966","Femme","1","40","1","2015-11-01 21:26:01.0"
"10457496","Femme","1","37","1","2015-11-01 12:59:02.0"
"10458722","Enfant","1","33","1","2015-11-01 10:07:19.0"
"10458722","Sacs","1","33","1","2015-11-01 10:07:19.0"
"10461238","Femme","3","35","3","2015-11-01 10:27:12.0"
"10461462","Accessoires","1","37","1","2015-11-01 16:10:17.0"
"10461462","Femme","1","37","1","2015-11-01 16:10:17.0"
"10463601","Femme","1","40","1","2015-11-01 21:00:08.0"
"10473061","Femme","1","38","1","2015-11-01 14:54:02.0"
"10473591","Femme","1","36","1","2015-11-01 18:54:09.0"
"10473603","Homme","1","44","1","2015-11-01 14:22:17.0"
"10478299","Femme","1","38","1","2015-11-01 17:27:11.0"
"10478722","Femme","3","38","2","2015-11-01 21:25:02.0"
"10479066","Femme","1","38","1","2015-11-01 21:36:02.0"
"10482248","Homme","1","42","1","2015-11-01 16:03:05.0"
"10486284","Femme","1","38","1","2015-11-01 18:37:12.0"
"10486700","Homme","1","41","1","2015-11-01 19:14:19.0"
"10491578","Femme","3","36","2","2015-11-01 20:13:10.0"
"10492325","Femme","1","40","1","2015-11-01 12:08:14.0"
"10492942","Femme","1","37","1","2015-11-01 08:36:19.0"
"10501517","Femme","1","38","1","2015-11-01 20:03:19.0"
"10502883","Femme","1","38","1","2015-11-01 15:25:18.0"
"10504599","Femme","1","40","1","2015-11-01 18:09:15.0"
"10505261","Enfant","1","36","1","2015-11-01 14:54:09.0"
"10505261","Enfant","1","37","1","2015-11-01 14:54:09.0"
"10505261","Femme","1","36","1","2015-11-01 14:54:09.0"
"10505261","Femme","1","37","1","2015-11-01 14:54:09.0"
"10509563","Femme","1","41","1","2015-11-01 08:15:12.0"
"10509926","Femme","1","","0","2015-11-01 11:12:16.0"
"10518484","Femme","1","","0","2015-11-01 17:44:05.0"
"10519911","Enfant","2","19","1","2015-11-01 13:49:04.0"
"10519911","Enfant","2","42","1","2015-11-01 13:49:04.0"
"10525982","Femme","4","38","4","2015-11-01 23:05:09.0"
"10527782","Femme","1","","0","2015-11-01 13:48:16.0"
"10530323","Femme","2","39","1","2015-11-01 16:29:06.0"
"10531907","Femme","2","40","2","2015-11-01 21:23:08.0"
"10532600","Homme","1","42","1","2015-11-01 16:40:05.0"
"10542869","Femme","1","37","1","2015-11-01 17:44:07.0"
"10543429","Femme","1","38","1","2015-11-01 10:49:07.0"
"10544899","Accessoires","2","","0","2015-11-01 16:29:16.0"
"10546216","Femme","1","41","1","2015-11-01 23:36:01.0"
"10546386","Femme","1","38","1","2015-11-01 21:30:16.0"
"10546812","Femme","2","36","2","2015-11-01 19:27:02.0"
"10547010","Femme","4","40","4","2015-11-01 20:28:10.0"
"10554142","Homme","1","47","1","2015-11-01 20:19:01.0"
"10556382","Enfant","1","38","1","2015-11-01 17:46:13.0"
"10558712","Accessoires","1","45","1","2015-11-01 15:41:04.0"
"10558712","Homme","1","45","1","2015-11-01 15:41:04.0"
"10562059","Femme","1","42","1","2015-11-01 19:24:19.0"
"10564358","Femme","1","37","1","2015-11-01 17:36:16.0"
"10567001","Femme","1","39","1","2015-11-01 12:45:07.0"
"10575091","Homme","1","40","1","2015-11-01 13:58:17.0"
"10576194","Femme","1","","0","2015-11-01 12:23:15.0"
"10584422","Homme","1","43","1","2015-11-01 22:29:02.0"
"10589641","Femme","2","38","2","2015-11-01 17:16:07.0"
"10590083","Femme","2","38","2","2015-11-01 20:59:05.0"
"10592041","Accessoires","2","40","2","2015-11-01 14:28:08.0"
"10592952","Femme","1","41","1","2015-11-01 22:06:00.0"
"10593663","Femme","1","38","1","2015-11-01 20:53:15.0"
"10594006","Enfant","1","","0","2015-11-01 12:14:19.0"
"10595077","Homme","1","45","1","2015-11-01 12:37:13.0"
"10597140","Homme","3","42","2","2015-11-01 15:09:08.0"
"10598916","Femme","1","41","1","2015-11-01 15:45:19.0"
"10598916","Femme","1","44","1","2015-11-01 15:45:19.0"
"10598916","Homme","1","41","1","2015-11-01 15:45:19.0"
"10598916","Homme","1","44","1","2015-11-01 15:45:19.0"
"10599544","Homme","2","39","2","2015-11-01 22:14:08.0"
"10604889","Femme","2","39","2","2015-11-01 07:45:19.0"
"10605545","Homme","1","43","1","2015-11-01 17:40:03.0"
"10607453","Femme","1","38","1","2015-11-01 21:16:18.0"
"10609152","Femme","1","38","1","2015-11-01 19:10:08.0"
"10613650","Femme","1","42","1","2015-11-01 14:42:18.0"
"10619186","Femme","1","39","1","2015-11-01 19:56:11.0"
"10625140","Homme","2","45","1","2015-11-01 20:22:15.0"
"10625140","Homme","2","46","1","2015-11-01 20:22:15.0"
"10631494","Enfant","2","28","1","2015-11-01 17:45:14.0"
"10631494","Enfant","2","39","1","2015-11-01 17:45:14.0"
"10631494","Enfant","2","26","1","2015-11-01 17:45:14.0"
"10636225","Femme","1","38","1","2015-11-01 16:13:01.0"
"10639450","Femme","2","38","1","2015-11-01 17:59:12.0"
"10639450","Femme","2","41","1","2015-11-01 17:59:12.0"
"10645631","Enfant","1","34","1","2015-11-01 22:04:05.0"
"10645631","Enfant","1","42","1","2015-11-01 22:04:05.0"
"10645631","Homme","1","34","1","2015-11-01 22:04:05.0"
"10645631","Homme","1","42","1","2015-11-01 22:04:05.0"
"10648872","Femme","1","37","1","2015-11-01 23:11:06.0"
"10648907","Accessoires","2","38","1","2015-11-01 18:01:13.0"
"10650666","Femme","1","39","1","2015-11-01 18:15:18.0"
"10653637","Enfant","1","28","1","2015-11-01 12:59:11.0"
"10655251","Homme","2","41","2","2015-11-01 12:16:10.0"
"10659417","Femme","1","36","1","2015-11-01 09:32:00.0"
"10662407","Femme","1","39","1","2015-11-01 21:13:02.0"
"10669221","Enfant","2","29","1","2015-11-01 18:33:18.0"
"10669221","Enfant","2","39","1","2015-11-01 18:33:18.0"
"10669221","Enfant","2","35","1","2015-11-01 18:33:18.0"
"10672952","Femme","1","41","1","2015-11-01 15:54:14.0"
"10674615","Homme","1","44","1","2015-11-01 19:27:06.0"
"10681474","Femme","1","38","1","2015-11-01 19:59:05.0"
"10687086","Homme","1","42","1","2015-11-01 16:11:07.0"
"10690190","Homme","1","42","1","2015-11-01 12:13:03.0"
"10691058","Femme","2","39","2","2015-11-01 21:25:14.0"
"10693787","Femme","2","39","2","2015-11-01 10:20:10.0"
"10695096","Enfant","1","37","2","2015-11-01 17:52:03.0"
"10695096","Femme","1","37","2","2015-11-01 17:52:03.0"
"10703509","Homme","1","43","1","2015-11-01 13:27:02.0"
"10707932","Homme","1","42","1","2015-11-01 19:35:15.0"
"10708398","Femme","1","40","1","2015-11-01 18:23:08.0"
"10709295","Femme","1","40","1","2015-11-01 21:20:16.0"
"10709413","Femme","1","38","1","2015-11-01 19:02:08.0"
"10711572","Femme","1","40","1","2015-11-01 11:52:13.0"
"10712633","Femme","2","38","2","2015-11-01 18:33:14.0"
"10713657","Femme","1","39","1","2015-11-01 14:08:16.0"
"10715621","Femme","2","40","2","2015-11-01 22:26:04.0"
"10720703","Femme","4","39","4","2015-11-01 21:13:07.0"
"10723248","Femme","1","40","1","2015-11-01 21:50:14.0"
"10728717","Femme","2","42","2","2015-11-01 07:13:11.0"
"10729097","Femme","1","35","1","2015-11-01 13:49:15.0"
"10729186","Femme","2","36","2","2015-11-01 16:44:15.0"
"10729274","Enfant","1","26","1","2015-11-01 22:47:12.0"
"10729910","Homme","1","44","1","2015-11-01 14:59:07.0"
"10731841","Femme","1","40","1","2015-11-01 17:17:06.0"
"10733453","Femme","1","41","1","2015-11-01 16:19:13.0"
"10733736","Femme","1","38","1","2015-11-01 18:58:00.0"
"10734774","Femme","2","41","1","2015-11-01 11:13:01.0"
"10734774","Femme","2","42","1","2015-11-01 11:13:01.0"
"10735461","Femme","1","36","1","2015-11-01 10:39:08.0"
"10737054","Homme","2","45","1","2015-11-01 19:13:12.0"
"10741384","Femme","1","39","1","2015-11-01 16:18:19.0"
"10744219","Homme","1","41","1","2015-11-01 21:34:02.0"
"10744386","Accessoires","3","38","1","2015-11-01 18:39:16.0"
"10745699","Femme","1","36","1","2015-11-01 09:18:01.0"
"10746703","Femme","2","39","2","2015-11-01 10:56:05.0"
"10751089","Homme","1","43","1","2015-11-01 02:17:13.0"
"10751733","Femme","2","40","1","2015-11-01 19:48:07.0"
"10751733","Femme","2","41","1","2015-11-01 19:48:07.0"
"10755028","Enfant","1","32","1","2015-11-01 14:10:08.0"
"10755191","Femme","1","38","1","2015-11-01 09:47:03.0"
"10756520","Femme","1","39","1","2015-11-01 22:02:18.0"
"10756582","Femme","1","37","1","2015-11-01 12:31:02.0"
"10756582","Femme","1","43","1","2015-11-01 12:31:02.0"
"10756582","Homme","1","37","1","2015-11-01 12:31:02.0"
"10756582","Homme","1","43","1","2015-11-01 12:31:02.0"
"10760492","Enfant","2","40","1","2015-11-01 09:18:15.0"
"10762022","Homme","2","41","2","2015-11-01 14:52:17.0"
"10764486","Femme","1","41","1","2015-11-01 20:21:03.0"
"10764486","Homme","1","41","1","2015-11-01 20:21:03.0"
"10768254","Femme","1","41","1","2015-11-01 09:28:13.0"
"10768254","Femme","1","43","1","2015-11-01 09:28:13.0"
"10768254","Homme","1","41","1","2015-11-01 09:28:13.0"
"10768254","Homme","1","43","1","2015-11-01 09:28:13.0"
"10768713","Femme","2","38","2","2015-11-01 17:19:10.0"
"10772641","Femme","1","39","1","2015-11-01 12:28:16.0"
"10773747","Femme","2","40","2","2015-11-01 22:53:11.0"
"10775165","Femme","1","","0","2015-11-01 09:22:02.0"
"10780197","Homme","1","41","1","2015-11-01 15:41:19.0"
"10782988","Femme","1","","0","2015-11-01 10:35:05.0"
"10788162","Femme","2","36","1","2015-11-01 02:27:07.0"
"10788162","Femme","2","37","1","2015-11-01 02:27:07.0"
"10796967","Homme","2","44","1","2015-11-01 09:54:17.0"
"10796967","Homme","2","45","1","2015-11-01 09:54:17.0"
"10799099","Enfant","4","27","3","2015-11-01 00:41:13.0"
"10799099","Enfant","4","30","3","2015-11-01 00:41:13.0"
"10801160","Femme","1","38","1","2015-11-01 13:57:10.0"
"10802075","Homme","2","44","2","2015-11-01 17:54:04.0"
"10804475","Femme","1","40","1","2015-11-01 20:12:04.0"
"10804475","Homme","1","40","1","2015-11-01 20:12:04.0"
"10804846","Homme","1","43","1","2015-11-01 21:56:09.0"
"10804950","Femme","4","41","4","2015-11-01 18:52:17.0"
"10805319","Homme","1","43","1","2015-11-01 20:50:06.0"
"10812106","Femme","3","38","3","2015-11-01 20:39:08.0"
"10814093","Enfant","1","39","1","2015-11-01 11:20:15.0"
"10816835","Femme","1","","0","2015-11-01 15:26:11.0"
"10818900","Femme","1","39","1","2015-11-01 14:35:16.0"
"10819215","Femme","1","38","1","2015-11-01 23:07:11.0"
"10819790","Homme","1","40","1","2015-11-01 18:24:05.0"
"10821041","Femme","1","36","1","2015-11-01 09:50:07.0"
"10823317","Femme","1","39","1","2015-11-01 08:34:08.0"
"10829557","Enfant","1","39","1","2015-11-01 16:56:16.0"
"10829557","Femme","1","39","1","2015-11-01 16:56:16.0"
"10831335","Sacs","1","","0","2015-11-01 13:17:04.0"
"10835749","Femme","3","38","3","2015-11-01 20:59:07.0"
"10839318","Femme","1","","0","2015-11-01 21:44:09.0"
"10842787","Enfant","2","24","1","2015-11-01 17:08:05.0"
"10842787","Enfant","2","38","1","2015-11-01 17:08:05.0"
"10843966","Femme","1","37","1","2015-11-01 18:47:07.0"
"10857417","Accessoires","1","38","1","2015-11-01 14:10:00.0"
"10857417","Femme","1","38","1","2015-11-01 14:10:00.0"
"10859728","Femme","3","38","3","2015-11-01 22:47:09.0"
"10860454","Homme","1","46","1","2015-11-01 21:08:16.0"
"10863855","Femme","1","38","1","2015-11-01 16:55:15.0"
"10867325","Femme","1","38","1","2015-11-01 16:55:00.0"
"10869852","Femme","1","40","1","2015-11-01 12:22:15.0"
"10875458","Femme","3","40","3","2015-11-01 18:16:04.0"
"10885070","Enfant","1","22","1","2015-11-01 21:58:09.0"
"10885070","Enfant","1","38","1","2015-11-01 21:58:09.0"
"10885070","Femme","1","22","1","2015-11-01 21:58:09.0"
"10885070","Femme","1","38","1","2015-11-01 21:58:09.0"
"10887779","Femme","1","39","1","2015-11-01 12:24:02.0"
"10896175","Femme","1","40","1","2015-11-01 15:43:02.0"
"10903038","Femme","1","38","1","2015-11-01 15:57:14.0"
"10903412","Femme","1","39","1","2015-11-01 16:47:03.0"
"10905115","Femme","1","37","1","2015-11-01 13:19:19.0"
"10906482","Enfant","1","29","1","2015-11-01 14:13:13.0"
"10906482","Enfant","1","39","1","2015-11-01 14:13:13.0"
"10906482","Femme","1","29","1","2015-11-01 14:13:13.0"
"10906482","Femme","1","39","1","2015-11-01 14:13:13.0"
"10908485","Enfant","4","30","2","2015-11-01 17:38:10.0"
"10908485","Enfant","4","35","2","2015-11-01 17:38:10.0"
"10908958","Femme","3","39","2","2015-11-01 21:45:07.0"
"10908971","Enfant","1","","0","2015-11-01 22:56:19.0"
"10912311","Enfant","1","34","1","2015-11-01 20:55:03.0"
"10912311","Enfant","1","45","1","2015-11-01 20:55:03.0"
"10912311","Enfant","1","38","1","2015-11-01 20:55:03.0"
"10912311","Homme","1","34","1","2015-11-01 20:55:03.0"
"10912311","Homme","1","45","1","2015-11-01 20:55:03.0"
"10912311","Homme","1","38","1","2015-11-01 20:55:03.0"
"10912311","Femme","1","34","1","2015-11-01 20:55:03.0"
"10912311","Femme","1","45","1","2015-11-01 20:55:03.0"
"10912311","Femme","1","38","1","2015-11-01 20:55:03.0"
"10914051","Femme","2","38","2","2015-11-01 19:39:07.0"
"10917736","Femme","2","38","2","2015-11-01 20:18:11.0"
"10918251","Femme","1","40","1","2015-11-01 16:27:10.0"
"10922502","Accessoires","1","43","1","2015-11-01 21:52:16.0"
"10922502","Homme","1","43","1","2015-11-01 21:52:16.0"
"10923148","Femme","1","41","1","2015-11-01 19:17:11.0"
"10924661","Femme","1","38","1","2015-11-01 20:08:02.0"
"10924706","Femme","2","37","2","2015-11-01 09:37:18.0"
"10927442","Enfant","1","","0","2015-11-01 12:58:19.0"
"10928600","Femme","1","41","1","2015-11-01 11:13:19.0"
"10928600","Femme","1","43","1","2015-11-01 11:13:19.0"
"10928600","Homme","1","41","1","2015-11-01 11:13:19.0"
"10928600","Homme","1","43","1","2015-11-01 11:13:19.0"
"10933591","Homme","1","41","1","2015-11-01 18:41:13.0"
"10937359","Femme","2","38","1","2015-11-01 11:59:03.0"
"10937359","Femme","2","39","1","2015-11-01 11:59:03.0"
"10941395","Enfant","1","28","1","2015-11-01 22:59:04.0"
"10941395","Enfant","1","39","1","2015-11-01 22:59:04.0"
"10941395","Femme","1","28","1","2015-11-01 22:59:04.0"
"10941395","Femme","1","39","1","2015-11-01 22:59:04.0"
"10942420","Femme","1","41","1","2015-11-01 15:12:03.0"
"10944716","Femme","2","39","2","2015-11-01 15:58:00.0"
"10944820","Femme","1","37","1","2015-11-01 21:30:10.0"
"10946513","Enfant","1","36","1","2015-11-01 19:45:19.0"
"10948013","Femme","3","38","3","2015-11-01 22:36:11.0"
"10949915","Femme","1","39","1","2015-11-01 09:48:12.0"
"10950186","Femme","2","38","2","2015-11-01 16:43:09.0"
"10952465","Homme","1","43","1","2015-11-01 11:56:10.0"
"10954113","Accessoires","1","","0","2015-11-01 21:23:15.0"
"10954113","Homme","1","","0","2015-11-01 21:23:15.0"
"10956074","Femme","1","40","1","2015-11-01 20:07:05.0"
"10958433","Femme","1","36","1","2015-11-01 07:41:16.0"
"10960421","Femme","1","39","1","2015-11-01 22:55:13.0"
"10961200","Enfant","2","30","1","2015-11-01 14:30:01.0"
"10961200","Enfant","2","35","1","2015-11-01 14:30:01.0"
"10967573","Femme","1","37","1","2015-11-01 18:24:04.0"
"10967623","Femme","3","38","3","2015-11-01 11:07:03.0"
"10968268","Femme","2","28","1","2015-11-01 14:13:04.0"
"10968268","Femme","2","39","1","2015-11-01 14:13:04.0"
"10968268","Femme","2","38","1","2015-11-01 14:13:04.0"
"10968652","Femme","4","38","2","2015-11-01 20:06:00.0"
"10968652","Femme","4","39","2","2015-11-01 20:06:00.0"
"10993635","Enfant","1","28","1","2015-11-01 22:04:19.0"
